UPV (m/s),ER (ohm-cm),FS (MPa),TS (MPa),CS (MPa)
2949.9016,3.6089,0.3524,1.4634,17.325
2949.498,3.7363,0.3462,1.4661,16.7155
2949.9606,3.7237,0.3435,1.4613,16.4844
2949.8057,3.5816,0.3367,1.4649,16.7376
2949.6509,3.7221,0.3432,1.4586,16.2578
2947.8722,3.6082,0.346,1.458,16.3132
2949.0707,3.608,0.3506,1.4628,17.5775
2949.5432,3.6969,0.3415,1.4547,17.5995
2950.1113,3.5889,0.3562,1.4583,17.005
2948.5416,3.7599,0.3572,1.4656,16.2005
2949.6991,3.7933,0.3583,1.4594,16.4737
2949.8208,3.6097,0.3493,1.4606,16.6584
2949.6518,3.7192,0.343,1.4587,17.3889
2949.2386,3.7675,0.3544,1.467,16.1313
2948.6132,3.6714,0.348,1.4601,16.1744
2947.818,3.7482,0.3506,1.4664,16.371
2948.593,3.6504,0.3524,1.4553,17.1203
2947.8253,3.7033,0.3377,1.4582,17.2493
2950.5392,3.7029,0.353,1.4591,17.1182
2950.2992,3.6376,0.3429,1.465,16.811
2986.3811,3.6819,0.3614,1.4754,16.792
2994.9156,3.6492,0.362,1.4792,17.1935
2989.5055,3.6125,0.3617,1.4756,16.4755
2959.5872,3.6583,0.3615,1.4965,17.3654
2975.4119,3.5991,0.3608,1.475,16.5682
2978.9423,3.611,0.3641,1.5017,17.3741
2996.0709,3.593,0.3617,1.5134,17.0779
2995.7856,3.5962,0.3615,1.5019,16.6662
2957.9305,3.6744,0.3635,1.5011,16.4186
2962.4503,3.5941,0.3603,1.4885,17.5381
2976.5713,3.5988,0.365,1.5009,16.1797
2973.1057,3.6623,0.3602,1.4877,16.4258
2949.7927,3.6737,0.3616,1.4973,16.8885
2958.8619,3.6116,0.3619,1.509,16.97
2962.3444,3.6255,0.3641,1.5023,16.9525
2949.7088,3.6674,0.3638,1.5171,17.1774
2979.8967,3.6835,0.3644,1.4821,16.8537
2965.5957,3.6253,0.3617,1.4679,16.8501
2975.8633,3.5924,0.3661,1.4883,16.3587
2958.3775,3.6678,0.3618,1.5113,16.3952
3001.8462,3.6552,0.36,1.4885,16.1732
3000.26,3.6867,0.3645,1.4936,16.1293
3000.5583,3.5752,0.3552,1.5129,16.2009
2998.0286,3.64,0.3632,1.5175,16.1548
2999.9875,3.6769,0.3653,1.5001,16.1247
2999.274,3.6549,0.3617,1.4962,16.222
3000.6854,3.6823,0.354,1.5172,16.2116
2998.4956,3.5658,0.3635,1.4943,16.1577
2998.0539,3.621,0.3626,1.5065,16.1696
3000.1279,3.6809,0.36,1.5169,16.1638
2999.7213,3.5382,0.3584,1.4996,16.101
3000.7277,3.6435,0.3613,1.5136,16.1165
3001.9228,3.6586,0.3578,1.5086,16.1445
2999.3489,3.5947,0.3645,1.5104,16.1048
2999.5325,3.5667,0.3653,1.5021,16.2063
3000.9866,3.5858,0.3656,1.4924,16.0989
3000.8753,3.6576,0.3594,1.5054,16.104
3001.9364,3.5849,0.3552,1.5009,16.0949
2999.7452,3.675,0.359,1.5145,16.1043
3000.2179,3.5823,0.3596,1.5008,16.1387
3001.0976,3.7254,0.3421,1.4651,16.6788
3001.8836,3.7618,0.3465,1.4595,17.558
3001.9229,3.7297,0.3491,1.4664,16.8498
3001.1574,3.7419,0.3428,1.4807,16.4975
3001.677,3.6687,0.3423,1.4571,17.5314
3001.5339,3.7509,0.34,1.4742,17.6389
3001.2873,3.5572,0.3496,1.4577,16.8623
3001.5472,3.556,0.3486,1.4684,16.3916
3001.6872,3.6997,0.3535,1.4874,16.6026
3001.9783,3.5644,0.3486,1.4696,16.819
3001.9944,3.6836,0.3474,1.459,17.0863
3001.933,3.7648,0.342,1.4804,16.6086
3001.9542,3.609,0.3428,1.4663,17.0977
3001.4988,3.6687,0.3401,1.4637,17.2533
3001.756,3.6057,0.3377,1.4766,16.5505
3001.6375,3.6136,0.3375,1.4862,16.4007
3001.1396,3.6829,0.3525,1.4723,16.6581
3001.0755,3.7381,0.3443,1.4585,16.6898
3001.0569,3.5866,0.3531,1.4616,16.8411
3001.9885,3.624,0.3393,1.4763,16.9613
2951.4962,3.719,0.3433,1.4638,17.5367
2986.2886,3.6657,0.3414,1.4622,17.2649
2995.9912,3.6535,0.3421,1.4635,16.4378
2957.5083,3.59,0.3391,1.4628,17.6231
2967.0599,3.7338,0.3403,1.4603,16.2415
2970.5812,3.5606,0.3559,1.4615,16.5463
3000.9581,3.5433,0.3538,1.4645,16.9176
2985.1011,3.5468,0.3538,1.4599,16.7795
2954.1635,3.6769,0.3421,1.4576,17.3036
2977.601,3.586,0.3384,1.4635,16.9633
2988.7904,3.5723,0.3368,1.4592,16.1889
2962.044,3.5903,0.3423,1.4591,16.8282
2992.2561,3.6782,0.3516,1.4619,16.8676
2970.8789,3.6886,0.3509,1.4542,17.3123
2966.1014,3.5397,0.3496,1.4631,16.9171
2998.8188,3.5806,0.3405,1.4601,16.7096
2992.1687,3.7533,0.3456,1.4641,16.625
2993.1492,3.6132,0.3425,1.4584,17.0606
2963.0133,3.5827,0.356,1.4561,17.1037
2955.0991,3.5944,0.3541,1.4617,16.1506
2978.5041,3.5736,0.3653,1.4799,16.1297
2979.1042,3.594,0.3626,1.4722,16.0742
2980.9543,3.5787,0.3645,1.4883,16.0723
2970.5596,3.5951,0.3604,1.5096,16.08
2960.3959,3.5834,0.3659,1.4756,16.1257
2968.3316,3.5975,0.3642,1.4777,16.115
2998.1674,3.5771,0.3616,1.4722,16.1102
2951.6879,3.5539,0.3645,1.5069,16.0876
2986.35,3.6046,0.3629,1.5179,16.1232
2996.2549,3.6015,0.3653,1.4899,16.0849
2997.2512,3.5805,0.362,1.4739,16.1252
