UPV (m/s),ER (ohm-cm),FS (MPa),TS (MPa),CS (MPa)
3152.0882,7.1133,5.3283,2.2536,34.7868
3733.032,4.7124,3.9215,2.0174,26.2144
4184.6281,12.7021,5.6556,4.5236,45.0615
4236.3742,8.7778,5.2918,2.4553,43.5468
3486.6224,6.2832,0.9749,1.5894,24.425
3763.5911,4.7124,4.0099,2.1202,26.2227
4312.4719,12.7491,7.8086,5.133,50.6047
3505.2857,6.2832,0.9749,1.5894,23.9546
4349.6472,11.0667,7.887,3.7518,51.5666
3488.7772,5.7448,0.9749,1.5894,23.8807
3001.9944,3.6836,0.3474,1.459,17.0863
3359.9091,6.1223,0.9989,1.5876,21.2656
3478.4539,5.8905,1.1467,2.104,24.9624
3028.627,3.6614,0.3635,1.5182,16.1783
3660.7812,6.2832,3.7473,1.8629,23.0055
3554.0613,4.3197,1.4459,2.2442,29.451
3297.4751,5.4978,1.1825,2.0985,25.6104
3662.4422,6.2832,3.7491,1.9031,23.1122
3530.7703,16.1007,5.6333,2.3521,36.0746
3181.0328,7.084,5.363,2.2606,34.9561
2963.0227,3.5384,0.3634,1.4798,16.0893
3388.2346,5.1174,1.1779,2.0598,26.6644
4277.1919,9.2501,5.3043,2.4649,44.7916
3583.4441,4.3197,1.4173,2.2364,29.3071
3419.2443,5.3118,1.1614,2.1025,27.7539
3340.5612,6.748,3.1381,1.2637,20.4279
3189.4533,5.4032,1.1717,2.1175,26.6341
4355.9266,10.9234,7.8116,3.7511,50.9847
3398.046,6.9404,3.1381,1.3091,19.8456
3194.2884,5.8905,0.9573,1.5321,24.7377
4326.1084,13.6518,7.7196,5.0074,55.128
3413.7971,4.4104,3.0359,1.3508,17.2632
4232.2382,12.0199,5.6511,4.5277,48.3861
3162.7951,6.2188,5.426,2.2409,35.7353
3724.9551,4.5368,1.3799,2.2219,27.3686
3659.4292,6.2832,3.7521,1.9513,23.7776
2962.4503,3.5941,0.3603,1.4885,17.5381
2980.3472,3.541,0.3622,1.4805,16.0729
4199.5675,12.9591,5.6592,4.5411,48.7754
3476.8112,5.6387,0.9995,1.581,21.9038
4248.7307,8.6875,5.3317,2.4554,45.4973
3001.5339,3.7509,0.34,1.4742,17.6389
3237.229,5.8905,0.9809,1.5336,23.8027
3533.5866,16.1441,5.593,2.3511,36.6459
3656.8707,6.2832,3.728,1.9531,23.5563
3530.4994,16.1007,5.6488,2.3481,36.0805
4245.4843,10.4502,5.9226,3.4816,49.5148
3731.5369,5.6632,3.9945,2.1367,25.9164
4250.7461,10.4393,5.9226,3.4816,49.4645
3197.0328,5.8905,0.9482,1.5721,24.8723
3357.6499,4.396,3.0241,1.4602,17.0863
4384.8957,11.5089,7.5068,3.752,51.0492
3657.0816,5.9914,3.7271,1.9971,23.1217
4306.4267,9.0817,5.294,2.4554,44.3197
4229.7676,12.0252,5.6676,4.5277,48.5804
3263.4193,5.4978,1.183,2.0957,25.1341
4283.3541,10.9956,5.458,3.4946,45.4031
3533.5867,16.1007,5.6922,2.3487,35.8838
4398.0443,11.5017,7.7447,3.7519,50.527
3389.5929,5.13,1.1844,2.0969,26.5021
2959.5872,3.6583,0.3615,1.4965,17.3654
3111.0384,5.8905,1.0022,1.5448,22.3576
3641.6053,4.3117,1.4386,2.2685,27.4545
3500.3415,5.3014,1.1427,2.0652,27.699
3535.2721,16.1007,5.6627,2.3567,35.9723
3353.939,6.4231,0.9655,1.6271,21.3997
3401.4725,6.7268,3.1381,1.2698,19.6484
4294.8708,8.7345,5.334,2.4554,43.192
4294.9792,10.9956,5.5489,3.5069,42.7146
3371.1306,4.8548,1.3935,2.2741,28.0225
3572.8028,4.3197,1.3735,2.2464,30.6495
3520.1703,6.152,1.0034,1.5379,22.6407
4328.6258,13.8067,7.8556,4.9837,55.6893
3382.2483,6.1402,1.1464,2.1622,24.9362
3285.0333,4.111,1.3969,2.2207,28.1577
2996.2549,3.6015,0.3653,1.4899,16.0849
3699.4549,4.9544,3.9667,2.1582,25.7091
3318.359,6.5393,3.1381,1.3107,20.2877
4188.2281,12.9591,5.6562,4.5327,48.3303
3397.3007,4.2023,3.03,1.5465,17.1608
4244.5533,9.267,5.3109,2.4492,43.6323
4328.4255,14.1315,7.7105,5.272,54.8808
3451.5299,4.8726,1.393,2.2741,27.7368
3218.1412,5.5728,1.1716,2.1175,25.8913
4327.6401,13.9219,7.7254,5.0977,55.0544
4305.0862,10.9956,5.5605,3.5193,44.9094
3205.9153,5.3474,1.1719,2.1175,25.4251
3337.3581,6.6041,3.1381,1.2778,20.8709
4389.3451,11.6665,7.4776,3.7505,49.9307
3656.8555,6.2832,3.7518,1.9372,23.8087
4238.4813,9.3059,5.305,2.4497,42.2478
3160.7859,5.4978,1.178,2.0913,25.1025
3532.5292,16.1007,5.6663,2.3546,36.0247
4294.5289,10.9956,5.5883,3.5069,43.3525
4248.8576,10.0173,5.8963,3.4877,49.0778
3539.4828,16.0947,5.6478,2.3566,35.9489
3659.9061,5.8905,3.7476,1.9934,24.0831
3658.9585,5.8905,3.7327,1.9061,23.737
3615.647,4.2335,1.4081,2.2588,27.3461
3307.4762,5.9019,1.1793,2.1118,24.9465
4278.9487,10.5774,5.9867,3.4563,50.8225
4202.0354,12.8227,5.6587,4.5311,48.6709
3390.7024,4.1278,1.3974,2.2631,29.746
3233.0785,5.3189,1.1717,2.1175,25.0793
3740.2798,4.4487,1.3644,2.2612,27.4651
4221.7066,12.0732,5.6546,4.5277,48.1897
3738.0011,5.1051,3.9586,2.0528,25.8159
3422.9563,4.1828,1.3945,2.2415,29.5112
4250.7681,9.6399,5.8928,3.5363,49.3152
3574.3877,4.1648,1.4379,2.2602,27.4213
3406.6725,6.913,3.1381,1.2457,19.4286
3454.366,6.0538,0.9435,1.6245,22.9195
3409.1104,4.7396,1.3933,2.2741,28.274
3406.2344,5.7503,1.1822,2.0677,24.7626
3310.3831,5.385,1.1719,2.1175,26.5037
4342.6523,13.7668,7.8189,5.2306,51.2685
3476.0476,6.6055,0.9507,1.6211,22.2912
4237.8096,10.588,5.9226,3.4816,50.2052
3246.0324,6.4756,0.9753,1.5671,21.2489
3361.9792,6.1016,0.9904,1.5523,21.258
4325.9709,13.4794,7.7565,5.1282,54.8232
3365.9392,4.1307,1.3996,2.2569,29.3959
3477.3818,5.8973,0.9749,1.5894,22.5422
3000.1279,3.6809,0.36,1.5169,16.1638
4241.9809,10.5314,5.9226,3.4816,49.4038
